user_name,nick_name,level,glevel,gender,is_vip,title,text,view,reply,share,agree,disagree,create_time,last_time,热度
微微来籁,无味汤,5,9,1,False,3个生命，唉。。。。,"3个生命，唉。。。。
转知乎：福建泉州杀人嫌犯被捕！自尽后被抢救：女方骗我15万，还送我入狱",227703,1336,42,16720,155,2024-02-20 00:52:40,2024-08-06 10:48:44,706790
秋虫不知晦朔,光荣的红花少年,13,9,1,False,33高龄的相亲大姐就不要喝什么奶茶了，对健康不好哈哈,"33高龄的相亲大姐就不要喝什么奶茶了，对健康不好哈哈
33岁的女生去相亲，男生24岁，高高帅帅的。她跟男孩说：“我给你个机会，你请我喝个奶茶吧。”没想到女生被男生拒绝了，不禁感觉有点心酸，这个年纪出来相亲没想到男方连一杯奶茶也不愿意请她喝。
网友评论：他们喜欢年龄 20岁左右的。
女生今年 33岁，她觉得自己有稳定的收入，颜值身材不算太差，有高学历，应该不难找对象，结果被现实狠狠的教育了一番。
其实男生不在乎你收入高不高，也不在乎你学历高低，他们觉得一个女人30多岁了还在找对象，一定是个很挑剔的人，不如20左右的女生单纯直率些！
女生30多岁才去相亲，也很难找到“优质男”啦！
大部分男人其实喜欢傻白甜，高学历，高收入只是加分项，不是吸引力。对男人最有吸引力的还是年龄，性格，外表。这三项要是都是满分对男人的吸引力就是致命的，要是只占两项也有大把人追求，只有一项的话就要自己大胆的去追人家，单身男人也怕缠绵的女人
我曾经也相亲过20岁出头的女孩确实是更容易更直接，你跟她聊天就容易被她们活力感染，只追求当下，房子车子认为努力就会有，可惜我不是渣男，年龄相差十岁没好意思下手。而且男生才24岁，女方太成熟他会有压力。",225295,1170,18,6263,154,2023-12-12 12:33:01,2023-12-29 00:24:54,688206
秋虫不知晦朔,光荣的红花少年,13,9,1,False,看看郭襄的待遇，不得不说牛郎有如今的风评实在是冤,"看看郭襄的待遇，不得不说牛郎有如今的风评实在是冤
为什么郭襄的风评越来越差，郭芙的口碑却越来越好？代入杨过，你不觉得可怖吗？你36岁，遇到了了一个16岁的小迷妹，从此小迷妹一心记挂着你，你生她生，你寻死她跟着。
你终于找到了分别16年的妻子，想和妻子在你成长你妻子长大的地方安安稳稳的度过余生，结果小迷妹四处找你，第一件事就是直扑你俩的家。
你不想见，于是躲了出去，这一躲，竟然就是二十四年，这二十年里，你们隐姓埋名，四处躲避，耳边不时听闻小迷妹骑驴上少林砍了小和尚的手指，又听说小迷妹四处找你搅和的江湖风风雨雨。
终于迷妹24年后大彻大悟，建立了峨眉，你刚舒一口气，想着要不以夫妻名义送个贺表，随口一问，小迷妹有没有收徒，结果听说她徒弟就叫风陵，你一口老血认出来，这分明是怀念你和她风陵渡口初相遇。
你抬头看看妻子，妻子倒是很理解你，江湖人也很理解你，反正郭家二小姐，你也得罪不起。
你想起了你的两个义妹，她们也是倾心于你，却从不纠缠你，绝情谷一别终身未嫁，如今在为抗蒙事业奔走。
几十年过去了，江湖上流传着神雕大侠的威名，更流传着郭二小姐峨眉掌门的痴情，逐渐的，你变成了背景板，只剩下郭二小姐一生为爱痴狂，你甚至不知道，江湖上有多少人扼腕叹息，说你的妻子当年死在绝情谷就好了，这样你和郭二小姐也能成一段佳话。
你有些无语，确实，郭二小姐年轻貌美活泼明艳，家世也是一顶一，连她父母都是大英雄，你的妻子不过是江湖一个没落门派的孤女罢了，说是掌门，但门下弟子仅你一人，平时还得依靠全真派的庇护。
但是，又如何呢？郭二小姐顶好，但你就是不喜欢她做你的妻子。可是郭二小姐，也让你背上了莫名其妙的情感债务，所以，你除了余生躲着郭二小姐，还能怎么办呢？
在此期间，你听说襄阳失陷了，与你一生复杂纠葛在一起的郭伯伯郭伯母以身殉国了，就连你不知道是喜欢还是厌恶的郭芙也在跟着父母抗争蒙古后殉国了，还有那个你也不知道叫什么的郭伯伯的儿子，也许也殉国了。
值此家国巨变，郭二小姐在西川寻你。你四处流浪，到处听闻江湖人感慨，郭二小姐如此情深，为了神雕大侠不顾父母，不知神雕大侠知道了作何感想？
你看看妻子始终如一的面孔，心里想，我没什么感想，你自己想出去玩就出去玩，成天骂我做幌子干什么？你明知道父母年过70，还镇守在襄阳一线，你不好好学武功帮助父母成天瞎蹦哒什么？你蹦跶就蹦跶，打我的幌子干什么？
你调动一切力量，帮助难逃的丐帮人士，你知道蒙古铁骑一来，守了几十年襄阳的丐帮首当其冲，你叮嘱后人，要好好帮助丐帮，不要让郭靖icon黄蓉icon二人的一生心血付之东流，为反蒙留下火苗种子。
但同样是郭家产业，你为什么不对峨眉派施以援手？一来你是怕了二小姐，二来你一听她徒弟的名字就知道，二小姐无家国大义。
峨眉是不是反抗蒙古？我们无从得知，只知道几十年后，峨眉的掌门灭绝师太是坚决反元的，至于郭二小姐，书中无有描述。
你想起了那一年在襄阳城头，你与郭伯伯骑马并行，郭伯伯告诉你，他也不知道襄阳能不能守得住，但他只求鞠躬尽瘁死而后已。
只可惜，百年之后，你期盼人们记住你飞石击杀蒙古大汉，带领江湖游侠挫败蒙古先锋，国破之后保护南宋有生力量，而不是如今的郭二小姐痴情的背景板，更不是如今的花边新闻。
即使是痴情，你也希望人们记住你对你妻子的矢志不渝，而不是如今蹿出来一个抢你风头的人。
你一生，家国情怀不敌郭靖也就算了，毕竟你也做不到以身殉国；但你这一生，连痴情人设都被一个二小姐抢了去，那你十六年日夜望着南海算什么？
你仔细想想，算了，打不过争不过，你躲着她还不行呢？",225345,383,6,3463,88,2024-01-12 13:17:47,2024-01-20 19:17:44,681519
ypdufitf,隐身箱子猫,1,8,1,False,真的！千真万确！,"真的！千真万确！
这件事闹挺大，我们这边都传疯了，就我隔壁，一个35岁打了四次胎的大龄剩女，最近被一个上市集团老总家儿子看上了，给她买了一套别墅，给家里人也买了几套房，就这还不算完，后面彩礼还给了几百万，他们家一共也就几千万，但是他们说不心疼，娶媳妇是一辈子的事，花个小几千万是没问题的，所以一定要给彩礼，还得多给，要不然就是不爱她",211695,443,8,3164,18,2022-07-05 13:51:18,2022-07-10 11:45:08,640506
鍚存皬馃挋,🍊橘子橙er,1,8,1,False,鼠鼠们能接受吗？,"鼠鼠们能接受吗？
",204279,2066,26,13530,266,2023-07-18 14:02:51,2023-09-25 16:58:23,637041
石新叶xy,石新叶,12,6,1,False,假夫妻现象说明了什么,"假夫妻现象说明了什么
据有关自媒体报道：厂里假夫妻太多，再穷也别让女的一个人出来打工。厂里假夫妻太多了，男的付房租管女的一日三餐，给女的买衣服零花钱，女方年底带全款回家，男方回家后说，今年钱不好挣。谈及这类话题，大家是否会问：同样的性需求，为什么女性要求男人付款？在彩礼问题上，甚至有的女性会说：不能让男人白嫖。
也许有人说：没有为什么，这是社会认知，是规矩。那么为什么男人不能控制自己的性行为，留住自己的血汗钱呢？可能有女性会说，谁叫男人馋？",196420,288,9,1017,13,2023-08-10 14:30:36,2023-09-04 23:13:10,591757
风zhi恋痕,我可爱的喵😘,0,9,1,False,大龄剩女凉了,"大龄剩女凉了
已经有3800万大龄剩女了，什么叫大龄，就是太……老了没什么人要了，这辈子孤独终老了",185759,2444,23,21342,173,2023-03-31 19:24:07,2024-10-06 13:18:24,591081
刻薄一些,刻薄一些,13,6,0,False,远离格局小的,"远离格局小的
01
前几天看到一则离了个大谱的新闻。
浙江一位29岁的男子，因为家里人不断的催促，于是就接受了相亲的安排。
在一位长辈的介绍下，他认识了女孩张某。
第一次见面，男子希望能给相亲对象留下好印象，就主动提出要请客，还把约会场所定在了一家比较高档的饭店。
没想到，约会当天，女孩带领了一整支浩浩荡荡的亲戚队伍过来赴约了，人数多达23人......
这到底是来相亲，还是来打群架的......
男生还算有绅士风度，强颜欢笑地将女孩的亲戚们迎进了饭店，最终23人占满了两个包间4个酒桌。
更搞笑的是，两个相亲对象分别在两个包厢照顾客人，面都没怎么见到，更不用说聊天了。
行吧，冤大头就冤大头吧。男生在饭局快结束时，还是主动去柜台准备结账了，没想到，看到账单傻眼了。
自己所在的包厢，消费不过4000多元，而对方所在的包厢，竟然消费了1万5千多。
不但点了许多特别贵的菜品，还连吃带拿地点了不少的高档烟酒，这是要把男生往死里宰呀。
这个冤大头，谁爱当谁当。男生愤怒地离开饭店，无法忍受这种耻辱。
到饭局尾声，众人才察觉男生不见了，女生只好自掏腰包，付了近两万元的“巨款”。
事件的最后是，男生联系女生，说希望AA制，自己会承担所在包厢的4千多元消费。
女生只好将情况发在亲戚群里，要亲戚转账剩余的饭钱给她......
这场闹剧简直令人叹为观止，居然现实生活中，真的有脸皮如此厚实之人。",190780,168,10,1328,38,2022-05-02 21:51:56,2022-05-05 12:34:42,574576
u09114118,罗兰炖肉,8,9,1,False,是教育让男人变成“渣男”的吗？,"是教育让男人变成“渣男”的吗？
",168154,2696,36,26353,1443,2022-10-26 13:28:49,2023-07-06 19:36:47,545846
发呆症状患者,吾名发呆😘,5,2,0,False,四年感情，终究是我娶不起她们一家人。,"四年感情，终究是我娶不起她们一家人。
一言难尽，本人27岁，女24岁的本来要结婚了，女方一开始提12个彩礼我想也没想就答应了，结果昨天她发微信和我讲要40个加一套房一辆车给她弟弟准备，我啥也没说先和朋友们通知下说不结婚了，然后取消婚庆公司，和她说我不结了，今天在喝酒她们一家子人来这闹事，我朋友在这边给她弟弟揍医院去了，真他妈晦气，还是走相亲了，四年算个球。",176619,1137,67,3991,66,2022-02-14 23:36:13,2022-06-06 18:28:49,539800
阉然扒瘟到qe,咖喱小泡芙,0,3,2,False,被姐夫恶心倒了,"被姐夫恶心倒了
天塌了，这叫什么事啊😫我姐姐亲姐姐前几年因病去世了，但是还有个孩子，我一直对姐姐的孩子挺好的，我放假回来买零食衣服裤子，小孩平时是我家和我姐夫两边带，我这次回来发现我姐夫拿我照片当壁纸，还是偷偷拍的，还给我买了护肤品，我都说了我不要也不会用，然后他就说那给妈妈用，后来又买了镯子，手链，那个手链上还有love，这是什么意思，真服啦",177703,450,6,1934,9,2024-10-28 14:43:32,2024-11-12 10:52:51,537320
秋虫不知晦朔,光荣的红花少年,13,9,1,False,越来越多的女性建议立法，未经女方同意，男方不得私下做亲子鉴定,"越来越多的女性建议立法，未经女方同意，男方不得私下做亲子鉴定
今天在网上看到这样的一个话题，在网上争吵的还是比较火热的，那就是越来越多的女性开始建议，应该立法规定，未经女方同意，男方不得私下做亲子鉴定，因为这既是对女性的不尊重，也是对婚姻的不信任，亲子鉴定应该是双方同意的情况下共同进行，而不是由男方私下做主去鉴定，这种行为是对女性的不尊重，也是对双方婚姻的不信任。
当这样的一个话题出现之后，在网上引起争执也是不可避免的，毕竟这个话题本身就充满了争议，而私下做亲子鉴定这样的行为，到底是应不应该呢？双方之间也争吵的不可开交，有人认为，就算是对自己的妻子不信任了，也应该商量一下，而不是偷偷的去做，也有人认为，偷偷的去做，为的就是不伤害对方，给对方留点颜面，双方可以说是各执一词，都有各自的道理。
其实这些争议的背后，映射出社会上的一些婚姻问题，越来越多的现象让男人们坐不住了，而在这样的情况之下，无数人的婚姻因此而大受影响，男人怕孩子不是自己的，女人又嫌男人不尊重自己，这局该如何破呢？",164965,1504,23,10122,75,2023-08-11 21:44:39,2025-05-23 11:09:41,512681
秋虫不知晦朔,光荣的红花少年,13,9,1,False,在校女生偷查男友开销：月挣1.2万存8千正常吗？遭网友集体大嘛,"在校女生偷查男友开销：月挣1.2万存8千正常吗？遭网友集体大嘛
日前，在某社交平台上，一在校女生偷查男朋友的月账单，并发布上网，向网友咨询：“他一个月挣1.2万左右，能存下来8千，打工人里算啥水平？我还没毕业……男人工作了平均花100元/天，正常吗？这孩子读书时，一个月花自己身上1500顶天了。”
从这位女生晒出的账单支出构成饼状图可以看出，这位被偷查的男生每月支出的大头是餐饮和交通，分别占比37.45%和33.28%。
有网友指出，“看上去通勤花了好多钱”，结果发帖女生补充称：“他周五晚上坐高铁来找我，然后周日回公司，看了下明细，原来他把这个月后面周末的票都买了。”
发帖女生的IP地点为重庆，400多块能高铁往返多次的地方，其实大家稍微一查也能猜出男生大概的所在地了。",164010,286,14,2524,37,2023-11-16 16:04:05,2023-11-20 21:58:20,496063
秋虫不知晦朔,光荣的红花少年,13,9,1,False,集帅们，我有幸观摹到一场剑道对决：彩礼与婚检,"集帅们，我有幸观摹到一场剑道对决：彩礼与婚检
一场婚前论及彩礼与婚检的“交锋”引发了热议。
原来女方提出50万的彩礼要求，男方却提出婚检条件，结果女方感到不悦。男方则耐心解释并普及婚检知识，包括GPA指标、怀孕次数、分娩次数和流产次数。他强调，女性应保持自尊和自爱，不要以彩礼高低来评价自身价值，更提醒道，婚前和婚后需有秩序，一句婚检不能改变其重要性。言下之意是，彩礼请求者必须接受婚检，这理所当然。
这一现象引发了社会的深刻思考。确实，不容否认，古老的彩礼习俗在当今社会仍然盛行，但我们不能忽视婚姻伦理和生殖健康。男方提出婚检是对彩礼交易之外的一种保障，女性的身体状况同样重要，需要得到尊重。
在这个过程中，通过男方的主动普及知识并强调婚检的必要性，他提醒我们，社会上仍有许多好姑娘和受过良好家教的女性，她们才是更值得尊重和珍惜的。这样的行为也催生了对性别平等和关爱的深刻思考。这场争议也促使人们重新审视现代婚姻中的伦理观念和社会责任。
我们应当认可男方提出的理念，即彩礼请求者必须接受婚检。这不仅是对彩礼习俗的重新审视，更是对婚姻伦理和社会价值的一种探索与坚守。只有在这样的观念指引下，即使是古老的习俗，也能够与现代社会相辅相成。",160717,263,3,3662,55,2023-12-16 13:24:20,2023-12-27 20:26:30,487192
秋虫不知晦朔,光荣的红花少年,13,9,1,False,不同意婚后把年终奖上交，男子被“无缝衔接”,"不同意婚后把年终奖上交，男子被“无缝衔接”
太离谱了！男子不同意婚后把年终奖上交，结果女友和他冷战一个月！眼看婚期临近，男子就跟婚庆公司说把婚礼退掉，结果被告知：不用退了，女方那边把新郎换了……
看完此事我想说:
真的是奇葩给奇葩他母亲开门，奇葩到家了！我觉得从另一个角度看这件事情，感谢女方不嫁。反倒是男生的幸运，早点看清楚女方的真实人品，及时止损挺好的！
在现实生活中，有好多类似的事情，一到结婚的关键时刻，“作精女”都能想出一些奇葩的理由来难为男生，何必呢？都马上要成为一家人了，难为对方不也是给自己脸上抹黑吗？夫妻之间最重要的就是互相信任，彼此尊重，相互包容才能真正成为一家人，幸福相伴一生。",158919,439,12,3340,59,2024-03-01 22:00:28,2024-03-11 12:20:22,482387
